G,realm_1,stage_en,factorial_en,grid_desc,input_1,process_1,output_1,kpi_id,metric_name,target_value,method,category,factorial_cs,factorial_2,factorial_3,factorial_4,factorial_5,factorial_6,factorial_7,factorial_8,factorial_9,factorial_10,factorial_11,factorial_12,factorial_13
desc,Realm,Stage,Factorial,,💎energy: a*10^B⋮3,advance (yr),Longevity,,(KPI) Metric Name,KPI Target,KPI Method,,CS Concept,2^5 Bit+x[0/1],Training layer,Training,Physical,Acupoints,Insert Fix Way,Cultivation Meaning & Philosophical Logic Refutation,Sword Logic & Execution,Array Formation,Rune,Disclosure,Pure Essence
z,Void,Spirit Awakening,Origin Gathering,,0,0,100,,,,,,Null,00000x,Opening the Gate,Heat Suppression,Dantian,Qihai (Sea of Qi),Void Rise Root,Finding the starting point of origin from nothingness. Only from void can the root arise.,"Sword Intent's origin, formless, just a block of ""primitive ore.""",Script Initiation,Thoughtless,Origin,Unoriginated Untainted
0,Ordinary,Qi Leading,Meridian Opening,,1,0.1,100,,,,,,BIOS,00001x,Opening the Gate,Steel Line,Meridians,Dazhui (Great Vertebra),Silent Strike Light,"Stillness initiates, the light of the true spirit shines. From silence, radiance is born.",Activating spiritual power into the blade. The first signal establishing man-object connection.,Script Initiation,Intent Initiation,First Glimpse,Void Original Mind
1,Lower,Qi Refining,Breath Returning,,"1,000",1,150,,,,,,Syntax,00010x,Form Cultivation,Lung Cleansing,Alveoli,Zhongfu (Central Mansion),Maze Aim Mark,"Escaping delusion to define form, etching basic spirit marks. Once delusion ends, patterns appear.","Learning footwork and strikes with correct syntax. One ""bit"" off, the technique breaks.",Method Refining,Basic Script,Single Thought,Silent Strike True Light
2,Lower,Qi Refining,Body Tempering,,"3,000",2,200,,,,,,Variable,00011x,Form Cultivation,Flesh Renewal,Muscle Tissue,Tianshu (Celestial Pivot),Mix Part Body,Sorting distracted thoughts to shape the containing spirit body. Clear division leads to a pure form.,"Allocating spiritual power to techniques. Modifying sword qi's length, weight, and density.",Method Refining,Spirit Incantation,Resonance,Universal Body Compassion
3,Lower,Qi Refining,Heart Pulsing,,"10,000",3,300,,,,,,Loops,00100x,Form Cultivation,Heart Fortification,Heart Rate,Shanzhong (Chest Center),Chaos Shift Fate,"Reincarnation rotates, grasping the command of operation. Correct movement creates true fate.",Operating sword moves in an endless loop. Continuous attack pulse (Combo).,Method Refining,Meridian Line,Heart Speech,Luminous Speech Wisdom
4,Lower,Foundation Establish,Bone Forging,,"100,000",5,500,,,,,,Memory,00101x,Inner Realm,Iron Frame,Skeleton,Dazhu (Great Shuttle),Stagnant Grasp Store,"Dispelling impurities, subduing spiritual energy into the storehouse. When stagnation ends, the vault prospers.","Etching the sword's sensation into the marrow (Cache). Never forgetting the ""flavor"" of a strike.",Form Definition,Static Point,Deep Intent,Resolution Sequence
5,Lower,Foundation Establish,Viscera Refining,,"300,000",8,800,,,,,,Logic,00110x,Inner Realm,Visceral Purge,Liver,Zhangmen (Chapter Gate),Doubt Decide Sever,"Doubts are dissolved, decisiveness at every pass. Without doubt, the mind becomes resolute.",Analyzing opponent's openings (If/Else). Deciding the moment for a fatal blow.,Form Definition,Array Diagram,Guardian,Ironclad Mind Guard
6,Lower,Foundation Establish,Aperture Opening,,"1,000,000",12,"1,200",,,,,,I/O,00111x,Inner Realm,Aperture Exchange,Nine Orifices,Zhongwan (Central Venter),Close Flow Stream,"Breaking blockages to clear the flow between inner and outer. When closed, apertures must be opened.",Interfacing sword qi with the environment. Absorbing world energy to output ultimate moves.,Form Definition,Spirit Awakening,Interconnection,Suffering Salvation Path
7,Lower,Golden Core,Essence Condensation,,"10,000,000",25,"3,000",,,,,,Object,01000x,Creation,Heavy Star,Essence Core,Guanyuan (Origin Pass),Lone Join Image,"Escaping solitude to unify with all things and phenomena. When loneliness ends, myriad forms emerge.","Encapsulating all cultivation into a specific ""Life-Bound Sword.""",Current Adjustment,Talisman Charm,Compassion,Unified Spirit Altar
8,Lower,Golden Core,Blood Core,,"30,000,000",40,"5,000",,,,,,Inherit,01001x,Creation,Crimson Blood,Plasma,Geshu (Diaphragm Shu),Absolute Plan System,Severing mortal roots to inherit ancestral bloodlines. Connecting the pulse stabilizes the system.,"Inheriting essence from predecessors, integrating ancient swordsmanship libraries.",Current Adjustment,Array Guardian,Commitment,Heavenly Mandate Inheritance
9,Lower,Golden Core,Intent Governance,,"100,000,000",60,"10,000",,,,,,Thread,01010x,Creation,Divine Power,Limbs,Huantiao (Jumping Circle),Scatter Change Avatar,Splitting the mind to manifest myriad paths of action. Gathering scattered energy enables avatars.,Multi-threading. One person controlling ten thousand swords simultaneously.,Current Adjustment,Extreme Point,Shadow Manifestation,Myriad Body Manifestation
10,Middle,Nascent Soul,Embryonic Mutation,,"1,000,000,000",150,"50,000",,,,,,Virtual,01011x,Heaven Connect,Embryo Transformation,Womb,Zhongji (Central Pole),FALSE Morph Realm,"Using the false to cultivate the true, morphing illusory mini-realms. Borrowing falsehood to transform worlds.",Creating a sword realm space (Sandbox). Opponents falling in are besieged by illusions.,Wondrous Realm,Spirit Eye,Tranquil Realm,Illusion Realm Trial
11,Middle,Nascent Soul,True Wheel,,"3,000,000,000",200,"100,000",,,,,,Cloud,01100x,Heaven Connect,Cycle Fluid,Endocrine,Mingmen (Gate of Life),Trapped Vast Heaven,"No longer stranded, expanding the treasury to the high heavens. Escaping entrapment to reach the sky.","Sword intent no longer stays in the blade but scatters through space, deployed remotely.",Wondrous Realm,Heavenly Net,Great Love,Vast Process Salvation
12,Middle,Nascent Soul,Pillar Entry,,"10,000,000,000",300,"250,000",,,,,,Server,01101x,Heaven Connect,Dragon Pillar,Spinal Axis,Shenzhu (Body Pillar),Sole Gather Throne,"No longer solitary, gathering fortune at the spiritual throne. Ending isolation to assemble at the seat.","Becoming a coordination server, mastering all sword arrays within a thousand miles.",Wondrous Realm,Barrier,Homefront,Spirit Throne Convergence
13,Middle,Soul Transformation,Dharma Seal,,"100,000,000,000",600,"500,000",,,,,,Access,01110x,Root Transformation,Spirit Eye,Pupil,Jingming (Bright Eyes),Pure Limit Seal,"Preventing intrusion, establishing seals of power. Restraining violations through authority seals.",Supreme access rights. Able to seal or unlock the power of any sword.,Authority Control,Palm Seal,Covenant,True Law Ordinance
14,Middle,Soul Transformation,Heavenly Deduction,,"300,000,000,000",900,"1,000,000",,,,,,Algorithms,01111x,Root Transformation,Golden Brain,Cerebral Cortex,Yuzhen (Jade Pillow),Blend Wisdom Sagacity,"Wisdom arises from chaos, reaching great sagacity. When mind brightens, chaos turns to insight.",Calculating all opponent trajectories before they act (Predictive).,Authority Control,Celestial Pivot,Transcendent Status,Heavenly Secret Prediction
15,Middle,Soul Transformation,Profound Mark,,"1,000,000,000,000","1,500","3,000,000",,,,,,Database,10000x,Root Transformation,Conscious Accumulate,Hypothalamus,Naohu (Brain Household),Apart Trace Chart,"Subduing a chaotic world, returning all laws to one chart. With order, the spirit lineage becomes clear.",Storing all worldly techniques in memory. Accessing any move as needed.,Authority Control,Array Master,Shared Genealogy,Myriad Laws Genealogy
16,Middle,Void Returning,Minute Extremity,,"10,000,000,000,000","3,000","10,000,000",,,,,,Low-level,10001x,Spiritual Awareness,Micro-Structure,Nucleus,Changqiang (Long Strong),Raw Essence Fine,"Casting aside coarseness, refining down to the microscopic. Refining the raw into the fine.",Sword intent refined to the atomic level (Assembly). Destroying matter from the smallest structure.,Order Maintenance,Law Variation,Microscopic,Microscopic Refinement
17,Middle,Void Returning,Body Protection,,"30,000,000,000,000","5,000","30,000,000",,,,,,Locking,10010x,Spiritual Awareness,Indestructible,Antibody,Huagai (Magnificent Canopy),Conflict Freeze Solid,"Resolving conflict, fixing resources with a firm mind. Ending strife achieves solid stability.","Locked state (Mutex). The sword's strike is destiny, unblockable and unalterable.",Order Maintenance,Realm Suppression,Eternal Bond,Indestructible Realm Suppression
18,Middle,Void Returning,Divine Wisdom,,"100,000,000,000,000","8,000","100,000,000",,,,,,SuperCom,10011x,Spiritual Awareness,Spiritual Perception,Pineal Gland,Niwan (Mud Pill),Weak Strong Holy,Shedding weaknesses to attain the strength of a saint. Refining the weak to become strong and holy.,Root administration of all resources. A single thought operates the heaven and earth sword dao.,Order Maintenance,Ultimate Array,Sacred Wound,Saintly Virtue Sublimation
19,Upper,Dao Integration,True Fluid,,"1,000,000,000,000,000","20,000","500,000,000",,,,,,Compiler,10100x,Unification,Clairvoyance,Mind's Eye,Yintang (Hall of Impression),Dark Trade Truth,"Eliminating noise, translating heavenly secrets into truth. Decrypting the dark into bright truth.",Compiling intent into entity. Zero error between mind and sword.,Principles of Law,Stance Deployment,Wondrous Exchange,Truth Translation
20,Upper,Dao Integration,Intent Realm,,"3,000,000,000,000,000","35,000","1,000,000,000",,,,,,Kernel,10101x,Unification,Internal Governance,Medulla Oblongata,Fengfu (Wind Mansion),Outer Inner Cause,"Ignoring externals, penetrating the inner core. Leaving the outer for the inner gains the true heart.",The sword has become the core operating system of life. Every breath is a blade.,Principles of Law,Law Decree,Governing Interaction,Internal Heart Governance
21,Upper,Dao Integration,Zenith Peak,,"10,000,000,000,000,000","50,000","5,000,000,000",,,,,,Root,10110x,Unification,Heavenly Gate,Crown,Baihui (Hundred Convergences),Slave Master King,"Refusing slavery, mastering all things as king. Escaping servitude to rule as sovereign.",Root access to physical laws. Bending space with the sword in hand.,Principles of Law,Spirit Governance,Veneration,Compassionate Sovereign
22,Upper,Profound Mystery,Harmonious Light,,"100,000,000,000,000,000","120,000","20,000,000,000",,,,,,Quantum,10111x,Reversion Original,Spirit Body,Hair Follicle,Duye (Governor Shu),Grasp Mystic Wonder,"Ending dualistic attachment, overlapping mystic wonders. Beyond duality, one reaches the mystery.",One sword appearing everywhere at once (Superposition). Indeterminate reality.,Image Transformation,True Script,Mystic Affinity,Multi-faceted Mystery
23,Upper,Profound Mystery,Pure Fluid,,"300,000,000,000,000,000","200,000","100,000,000,000",,,,,,Error,11000x,Reversion Original,Purity,Lymph,Qugu (Crooked Bone),Error Right Pure,"Correcting errors, returning to the state of purity. Rectifying the wrong gains pure essence.",Removing all impurities (Garbage Collection). Absolute pure sword light.,Image Transformation,Reversal,Pure Heart,Pure Karma Force
24,Upper,Profound Mystery,True Word,,"1,000,000,000,000,000,000","400,000","500,000,000,000",,,,,,Source,11001x,Reversion Original,Heaven Shaking,Oropharynx,Magpie Bridge,Hidden Seen Origin,Breaking through the hidden to see the source code of origin. Piercing the veil to see the source.,Seeing the source code of all things. Seeing weaknesses everywhere to sever.,Image Transformation,Cosmos,True Wish,Origin Source Code
25,Upper,True Immortal,Essence Return,,"10,000,000,000,000,000,000","1,000,000","1,000,000,000,000",,,,,,Merge,11010x,Transcendence,Core Reversal,Root Navel,Shenque (Spirit Gate),Part Link One,"No more separation, myriad laws unify into the Great Tao. Linking the scattered back into the One.",Unifying all things into a single point. Indivisible integrity.,Primal Source,Unification,Unification,Unified Return to Origin
26,Upper,True Immortal,Holy Armor,,"30,000,000,000,000,000,000","2,500,000","10,000,000,000,000",,,,,,Encrypt,11011x,Transcendence,Jade Skin,Epidermis,Feishu (Lung Shu),Shown Secret Treasure,"Leaving no openings, protecting the true body with secret arts. Concealing exposure to preserve the self.",Absolute sword intent security. No one can decrypt or steal the sword dao.,Primal Source,Divine Seal,Secret Protection,Body Protection Secret Treasure
27,Upper,True Immortal,Shackle Breaking,,"100,000,000,000,000,000,000","5,000,000",Eternity,,,,,,Admin,11100x,Transcendence,Limit Break,Joints,Xuanshu (Suspension Pivot),Bind Solve Free,"Unshackling chains, liberating power to transcend the form. Releasing all bonds to be free.",Freeing from memory constraints (The body). Sword intent is free beyond matter.,Primal Source,Origin Evolution,Freedom,Unbinding Shell Shedding
28,Abstract,Divine Dao,Invisibility,,10^Inf,"20,000,000",Infinite,,,,,,Hidden,11101x,Supreme,Divine Body,Aura,Shenting (Spirit Court),Reveal Latent Shadow,"Formless and featureless, hiding tracks like a shadow. Latent potential remains as an image.",Sword existing in a virtualization layer (Hypervisor). Invisible yet executing omnipotent power.,Thoughtless Array,Divine Rune,Dissolving Shadow,Anonymous Hidden Shadow
29,Abstract,Divine Dao,Nothingness,,Inf^Inf,"100,000,000",Infinite,,,,,,Anonymous,11110x,Supreme,Saintly Heart,Ventricle,Juque (Great Gate),Mask Harmony Order,"Merging into anonymity, the soul’s self-nature becomes flawless. Harmony in hiding gains true self.","Self-operating, self-evolving sword (Self-modifying). No wielder needed, the sword is the dao.",Thoughtless Array,Saintly Array,Original Nature,Self-Nature Spirit Radiance
30,Abstract,Divine Dao,Great Dao,,NaN,"1,000,000,000",Infinite,,,,,,No Code,11111x,Supreme,Formless,Dantian,Huiyin (Convergence of Yin),Exist Naught Tao,"Leaving the purposeful, entering non-action, realizing the Great Tao. Abandoning ""being"" for ""non-being"" proves the Way.","Non-action execution. No sword, no move, yet all laws unify. Existence itself is the Sword.",Thoughtless Array,Taiji,Perfect Tao,Non-Action Great Tao
