G,realm_1,stage_1,factorial_1,grid_desc,input_1,process_1,output_1,kpi_id,metric_name,target_value,method,category,factorial_2,factorial_3,factorial_4,factorial_5,realm_2,stage_2,input_2,input_3,output_2,factorial_6,factorial_7,factorial_8
header,Science,Ethereal Cryptic,Sea beast,"[mô tả, realm, stage, factorial, input, process, output]",$ Năng lực: a*10^B⋮3,,,,Trade/Invest Metric,KPI Target,KPI Method,,Financial,Hải thú,Hán việt,Hán,Giới,"Mờ ảo, huyền bí",Strategy,,,CRO Concept,Growth Hack,[Lead/Traffic]*[Conversion/Yield]
z,VOID,Mist Cloud Atmosphere,Sea Foam,"Net worth is zero or negative. Lacks investment capacity. Lacks financial literacy, relies on welfare or a low fixed salary. The biggest opportunity cost is missing out on an undervalued asset while capital is tied up elsewhere. Focus on determining the intrinsic value of a business based on cash flow and real assets, buying when the market price is significantly below its intrinsic value to create a sustainable margin of safety.",0,,,,Opportunity Cost,,,,Zero/Non-Capital,Bọt biển,Vô sản,无产,Hư,Sương khí quyển,Value Investing,,,Void Discovery,Discovery/Market Research,Unaware User. Interaction
0,POINT,Rainfall Dew,Plankton,"Start with minimal capital to experience the market. Know how to buy and sell commodities, and use basic stock/crypto trading. Entry speed is crucial at the beginning of a long-term holding cycle (a good entry determines the holding mindset). Long-term strategies are based on belief in economic growth, eliminating short-term disturbances to optimize taxes and transaction costs over many years.",1,,,,Market Entry Speed,,,,Micro Retailer,Phù du,Vy hình,微型,Phàm,Mây mưa sương,Buy and Hold,,,Initial Impulse,Hook/Headline Capture,Lead Magnet. First Click
1,BOT,River Shore,Shrimp,"Individual proprietary trading. Knows basic chart reading, prone to FOMO (fear of missing out). Signal accuracy is demonstrated through Japanese candlestick patterns. Use candlestick patterns like Hammer, Engulfing, or Doji to understand the psychology of buyers and sellers at key price reversal points.","1,000",,,,Signal Precision,,,,Small Retailer,Tôm tép,Tán hộ,散户,Hạ,Bờ sông,Candlestick Pattern Trading,,,Signal Ignition,Signal Standardization,Awareness. Low Intent
2,BOT,River Shore,Shellfish,"Manage capital at a low to medium level. Begin to develop skills. Have your own trading system and understand low-level risk management. Diversification is not just about buying many stocks, but about dividing capital into fixed proportions to manage overall risk. Determine trading volume based on a fixed percentage of total capital, ensuring the account is not wiped out during a losing streak.","3,000",,,,Portfolio Diversification,,,,Active Trader,Giáp xác,Hoạt dịch,活易,Hạ,Bờ sông,Fixed-Fractional Position Sizing,,,Intent Capture,Segmentation/Niche,Interest. Engagement
3,BOT,River Shore,Crab,Start to build a basic investment portfolio. Master technical and fundamental analysis. Optimize compound interest by continuously targeting price regressions to the average. Based on the assumption that prices always tend to return to historical averages after being excessively stretched by temporary fluctuations.,"10,000",,,,Compound Frequency,,,,Prosumer Investor,Cua ghẹ,Đầu tư,投资,Hạ,Bờ sông,Mean Reversion,,,Flow Alignment,Retention Automation,Consideration. Stability
4,BOT,River Shore,Fish,"Be able to handle financial leverage. Manage a multi-asset portfolio and know how to use derivatives. Use historical data to identify support/resistance zones – the ""sensitive"" points of the past. Identify past buy/sell order concentration zones to find entry points when the price touches or breaks through these psychological thresholds.","100,000",,,,Data Backtesting,,,,Affluent Investor,Cá con,Phú dụ,富裕,Hạ,Bờ sông,High Low Avg / Support and Resistance,,,Anchor Point,Data Anchoring,Desire. Optimization
5,BOT,River Shore,swordfish,"Start approaching trust funds. Leverage tax and corporate structure. Win rates are often verified through the crossover of indicators (e.g., MA20/MA50). Use the crossover of moving averages (MA) or momentum indicators like MACD to generate highly disciplined buy/sell signals.","300,000",,,,Win Rate,,,,High Net Worth (HNW),Cá kiếm,Cao tịnh,高净,Hạ,Bờ sông,Technical Indicator Crossover,,,Conversion Map,Logic Refutation,Solution Fit. Scalable Offer
6,BOT,River Shore,electric eel,"Become more influential within a small group. Achieve complete financial independence and have your own support team. Trading volume is the ""soul"" of tape reading. Monitor the tape and real-time trading volume to identify the entry of large institutions before price movements occur.","1,000,000",,,,Trade Volume,,,,Millionaire Tier,Cá chình điện,Phú ông,富翁,Hạ,Bờ sông,Tape Reading,,,Vital Engagement,Funnel Optimization,Trust Authority. Authority Sale
7,BOT,River Shore,Nautilus,"Capable of manipulating small-cap stocks. Acquiring businesses, manipulating the prices of mid-cap stocks. Allocating assets based on identifying large-scale chart patterns across different asset classes. Trading based on geometric structures such as Head and Shoulders, Pennant, or Double Bottom to predict the continuation or reversal of a trend.","10,000,000",,,,Asset Allocation,,,,Multi-Millionaire,Ốc anh vũ,Thiên vạn,千万,Hạ,Bờ sông,Chart Pattern Recognition,,,High-Value Seal,Value Alchemist,Market Segment. High Ticket Sale
8,BOT,River Shore,squid,"Private Banking is a preferred target. Accessing ""closed-loop"" deals (Private Equity). Rotating capital to always seek sectors with the highest dividend yields. Shifting capital into sectors benefiting from economic cycles (such as energy during inflation, technology during periods of low interest rates).","30,000,000",,,,Dividend Yield,,,,Ultra HNW (UHNW),Cá mực,Siêu trị,超值,Hạ,Bờ sông,Rotation,,,Trust Shield,Social Proof/Equity,Brand Loyalty. Recurring Revenue
9,BOT,River Shore,Octopus,Capable of leading a trend. Building a private banking system or financial institution. Only using leverage when there is consistent confirmation across multiple timeframes (minimizing the risk of account liquidation). Analyzing trends on larger timeframes (Daily/Weekly) and finding optimal entry points on smaller timeframes (H1/M15) to increase the Reward/Risk ratio.,"100,000,000",,,,Margin Utilization,,,,Centi-Millionaire,Bạch tuộc,Ức hào,亿豪,Hạ,Bờ sông,Multi-Timeframe Confirmation,,,Peak Saturation,Omni-channel Saturation,Monopoly. Ecosystem Yield
10,MID,Open Ocean,Shark,"International scope. Lobbying at the national level, changing industry rules. Isolating risk by testing and optimizing parameters to eliminate confounding variables. Using historical data to simulate strategies, thereby adjusting parameters to achieve optimal performance before execution with real capital.","1,000,000,000",,,,Risk Isolation,,,,Billionaire Tier,Cá mập nhỏ,Thập ức,十亿,Trung,Đại dương bao la,Backtesting & Optimization,,,Core Visibility,A/B Testing Simulator,Platform Awareness. Platform Fee
11,MID,Open Ocean,Great White Shark,"Influencing the economy of a region/industry. Acquiring transnational competitors. Network effects are at the core of global macroeconomic capital flows. Betting on fluctuations in interest rates, exchange rates, and geopolitics based on macroeconomic reports from major countries.","3,000,000,000",,,,Network Effect,,,,Multi-Billionaire,Cá mập trắng,Cự hình,巨型,Trung,Đại dương bao la,Global Macro Strategy,,,Omni-Grid System,Scaling Engine,Data Mining. Big Data Monetize
12,MID,Open Ocean,Dolphin,"Capable of influencing economic policy. Intervening in national macroeconomic policies and exchange rates. Market makers need a constantly ""live"" system to provide continuous liquidity. Providing market liquidity by placing buy and sell orders simultaneously, profiting from the Bid-Ask Spread.","10,000,000,000",,,,Server Uptime,,,,Deca-Billionaire,Cá heo,Đại hanh,大亨,Trung,Đại dương bao la,Market Making,,,Walled Garden,Walled Garden,Traffic Source. Massive Conversion
13,MID,Open Ocean,Humpback,Manipulating exchange rates and national indices. Instigating financial crises for profit. Access speed directly affects whether stop-loss/take-profit orders are executed at the correct price. Setting automatic exit thresholds based on volatility (ATR) or technical levels to protect profits and limit risk.,"100,000,000,000",,,,Access Speed,,,,Hedge Fund Giant,Cá Voi Lưng Gù,Cự đầu,巨头,Trung,Đại dương bao la,Stop-Loss & Take-Profit Logic,,,Authority Command,Market Regulation,Community Build. Network Effect
14,MID,Open Ocean,Orca,Capital from the national budget. Using state capital to acquire strategic global assets. Superior returns generated from algorithmic smart order execution (reducing slippage). Using robots to split large orders into many smaller orders to minimize price impact and conceal the fund's trading intentions.,"300,000,000,000",,,,Alpha Generation,,,,Sovereign Wealth Master,Cá voi sát thủ,Chủ quyền,主权,Trung,Đại dương bao la,Algorithmic Execution (VWAP/TWAP),,,Predictive Pivot,Predictive Analytics,Market Prediction. Future Value
15,MID,Open Ocean,Blue Whale,"The scale of historical financial empires. Building hereditary family empires (Old Money). SMC focuses on finding deep liquidity zones where ""big money"" places orders. The trading system focuses on market structure (BOS, CHOCH) and liquidity zones to align with central banks.","1,000,000,000,000",,,,Order Book Depth,,,,Trillionaire Visionary,Cá voi xanh,Viễn kiến,远见,Trung,Đại dương bao la,Smart Money Concepts (SMC),,,Global Sovereignty,Big Data CRM,Global Market. Global Revenue
16,MID,Open Ocean,Piranha,"It dominates global money flows and controls voting at most companies in the S&P 500. Scalpers need top-of-the-line hardware (mouse, keyboard, monitor) and connectivity due to the extremely high trading frequency. They execute hundreds of orders daily with holding times measured in seconds or minutes to accumulate large profits from micro-fluctuations.","10,000,000,000,000",,,,Hardware Maintenance,,,,Institutional Leader,Cá cọp,Cơ cấu,机构,Trung,Đại dương bao la,Scalping,,,Adaptive Psych,Personalized Matrix,Behavioral Psych. Reality Hacks
17,MID,Open Ocean,Stingray,"Regulating large-scale market liquidity. Secretly manipulating the money supply and interest rates. Liquidity ratios are a prerequisite for executing balanced hedging orders. Using options and underlying assets to establish portfolios insensitive to price movements, profiting only from volatility or time.","30,000,000,000,000",,,,Liquidity Ratio,,,,Market Controller,Cá Đuối,Thao khống,操控,Trung,Đại dương bao la,Delta-Neutral Hedging,,,Scarcity Matrix,Scarcity Matrix,Scarcity Logic. Maximum Yield
18,MID,Open Ocean,Lanternshark,Nearly holding the world's debt. Managing global public debt and international bailout packages. Utilizing ultra-fast technological infrastructure to exploit arbitrage opportunities in an instant imperceptible to the human eye.,"100,000,000,000,000",,,,High-Frequency Trading,,,,Global Treasurer,Cá mập đèn lồng,Toàn tài,全财,Trung,Đại dương bao la,High-Frequency Trading (HFT),,,Ultimate Yield,Ultimate ROI,Market Dominance. Absolute Yield
19,TOP,Permafrost Iceberg Glacier,Megalodon,"The financial power of an entire continent. Dominating the continent's natural resources and energy. Quantitative strategy testing is a form of ""auditing"" compliance with mathematical rules. Using statistical methods (such as Monte Carlo) to assess the sustainability of strategies and systemic risk tolerance.","1,000,000,000,000,000",,,,Compliance Audit,,,,Continental Hegemon,Siêu cá mập,Bá chủ,霸主,Thượng,Băng hà vĩnh cửu,Quantitative Strategy Validation,,,Market Expansion,Intent Translation,Macro Economics. Value Redefinition
20,TOP,Permafrost Iceberg Glacier,Leviathan,"The designer of the monetary/standard system. Establishing new monetary standards (such as the gold, fiat, or crypto standard). The system's solvency is maintained through index rebalancing. Exploiting price volatility as ETFs are forced to buy or sell stocks to match the new weightings of indices like the S&P 500.","3,000,000,000,000,000",,,,System Solvency,,,,Monetary Architect,Quái vật biển,Hoá tệ,货币,Thượng,Băng hà vĩnh cửu,Index Rebalancing Arbitrage,,,Logic Overhaul,Axiom Rewrite,Law Optimization. Reality Engine
21,TOP,Permafrost Iceberg Glacier,Kraken,"Determining the prosperity of an era. Erasing or creating industrial revolutions. Trading news is like having ""early access"" to dramatic market movements. Taking advantage of volatility following news events such as earnings reports, mergers and acquisitions (M&A), or sudden policy changes.","10,000,000,000,000,000",,,,Superuser Access,,,,Era Shaper,Quái Vật Bạch Tuộc,Thời tố,时塑,Thượng,Băng hà vĩnh cửu,Event-Driven / News Trading,,,Entity Control,Entity Hegemon,Universal Needs. Universal Yield
22,TOP,Permafrost Iceberg Glacier,Carp dragon,Owning assets exceeding the total world GDP. Owning land and property rights on a global scale. A strategy that doesn't bet on price direction but on market volatility through Straddle or Strangle combinations.,"100,000,000,000,000,000",,,,Option Greeks (Delta/Gamma),,,,Global Dominator,Ngư Long,Thống trị,统治,Thượng,Băng hà vĩnh cửu,Options Volatility Trading,,,Quantum Logic,Eternal Code,Essence Mining. Existence Value
23,TOP,Permafrost Iceberg Glacier,Jourmungandr,Not appearing on Forbes lists. Operating outside the control of any government or law. Portfolio rebalancing is a proactive way to pull accounts out of maximum decline. Regularly adjust asset allocation to target levels to sell overheated assets and buy more undervalued assets.,"300,000,000,000,000,000",,,,Max Drawdown,,,,Shadow Entity,Cự Xà,Ảnh tử,影子,Thượng,Băng hà vĩnh cửu,Portfolio Rebalancing,,,Karmic Rewrite,System Rectifier,Fate Re-targeting. Karma Reset
24,TOP,Permafrost Iceberg Glacier,Kunpeng,"Control all resources and lives. Control humanity's survival system (food, water, air). Fundamental analysis helps understand why organizations leave footprints at certain price levels. Identify large volume accumulation and distribution zones through Dark Pool data and block trades.","1,000,000,000,000,000,000",,,,Fundamental Analysis,,,,Systemic Sovereign,Côn Bằng,Quân chủ,君主,Thượng,Băng hà vĩnh cửu,Institutional Footprint Analysis,,,World Synthesis,Source Code Origin,Demand Creation. Infinite Yield
25,TOP,Permafrost Iceberg Glacier,Aspidochelone Zaratan,Extend your control over extraterrestrial resources. Exploit and trade resources between planets. Mergers often create opportunities for Long/Short strategies between related companies. Buy the strongest stocks in an industry and simultaneously short-sell the weakest to eliminate overall market risk (Beta).,"10,000,000,000,000,000,000",,,,M&A Integration,,,,Galaxy Capitalist,Giới Quy,Tinh bản,星本,Thượng,Băng hà vĩnh cửu,Long/Short Equity Hedge,,,Absolute Union,Singularity Conversion,Unity Marketing. Absolute ROI
26,TOP,Permafrost Iceberg Glacier,Black Tortoise,"The ability to print/create value at will. Transform nothing into value, eliminating the concept of capital scarcity. Implement multi-layered asset management protocols to protect capital against systemic risks or cyberattacks (especially in Crypto/Digital Assets).","30,000,000,000,000,000,000",,,,Cold Storage Security,,,,Infinite Liquidity,Huyền Vũ,Lưu động,流动,Thượng,Băng hà vĩnh cửu,Secure Asset Custody Strategy,,,Consensus Trust,Consensus Trust,Trustless Sys. Automatic Value
27,TOP,Permafrost Iceberg Glacier,Poseidon,The ultimate point of all material value. The unity of will and matter. Possession of all valuable entities. Gradually taking profits as prices reach targets to lock in gains while retaining a portion of the position to pursue larger trends.,"100,000,000,000,000,000,000",,,,Exit Strategy,,,,Absolute Wealth,Hải thần,Thần hào,神豪,Thượng,Băng hà vĩnh cửu,Exit Strategy (Scale-Out),,,Infinite Loop,Infinite Liberation,Infinite Funnel. God-like Yield
28,ABS,Primordial Aquifer,Ocean,Assets that cannot be measured by specific numbers. Transcending the concept of parity. Monitoring virtual liquidity to uncover hidden orders (Iceberg orders) from large players. Analyzing spoofing and hidden orders in the order book to distinguish between real demand and market manipulation.,10^Inf,,,,Hidden Order,,,,Infinite (Inf),Đại dương,Vô cùng,无穷,Ẩn,Nước ngầm nguyên thủy,Virtual Liquidity Tracking,,,Ghost Conversion,Ghost Transaction,Dark Funnel. Stealth Value
29,ABS,Primordial Aquifer,Primordial Tide,Transcending all concepts of mathematics and finance. Existing in a financial multiverse where value is constant. Today's automated bots are linked to the self-optimizing capabilities of AI/ML. Using Reinforcement Learning algorithms to allow the system to adjust its strategy based on changing real-world market conditions.,Inf^Inf,,,,Auto-Trading Bot,,,,Super-Infinite,Thủy Triều,Siêu hạn,超限,Ẩn,Nước ngầm nguyên thủy,Machine Learning Self-Optimization,,,Zero-Point Value,Zero-Point Creation,Reset Market. Zero Point Yield
30,ABS,Primordial Aquifer,Origin Drop,"A state beyond value. Priceless. A state undefined by human thought. When there are no longer pressures related to fees and technical issues (no-code), trading psychology reaches its freest state. This is the highest level of professional investing, where discipline and composure become the ultimate operating system, eliminating all emotional barriers.",NaN,,,,Zero-Fee Model,,,,Non-Numeric (NaN),Nguyên Thủy,Phi vị,非位,Ẩn,Nước ngầm nguyên thủy,Psychological Mastery (No-Code),,,Divine Presence,Universal OS,No Marketing. No Conversion
