G,realm_1,stage_1,factorial_1,grid_desc,input_1,process_1,output_1,kpi_id,metric_name,target_value,method,category,factorial_2,factorial_3,factorial_4,factorial_5,realm_2,stage_2,factorial_6,factorial_7,factorial_8,factorial_9,factorial_10,factorial_11,factorial_12,factorial_13,stage_en,factorial_en
desc,Giới,Tầng,Giai Thừa,"[mô tả giới cảnh tầng giai thừa đoạn cấp, thọ nguyên tương đương]",💎energy: a*10^B⋮3,tiến giai (yr),Thọ nguyên,,(KPI) Metric Name,KPI Target,KPI Method,,2^5 Bit+x[0/1],Luyện tầng,Giai luyện,Thể chất,Cảnh,Tầng,Huyệt đạo,Độn Định Đạo,Ý Nghĩa Tu Chân & Triết Học. Phản biện Logic,Kiếm Pháp Logic (Sword Logic & Execution),Trận Pháp,Phù Văn,Phi lộ,Duy tinh,Stage,Factorial
z,Hư,Dẫn Khí,Tụ Nguyên,Khởi điểm,0,0,100,,,,,,00000x,Khai môn,Nhiệt Trấn,Đan Điền,Hỗn Độn Sơ Khai,Vô Pháp Vô Định,Khí Hải,Hư Khởi Bản,Từ hư vô tìm thấy điểm khởi đầu của bản nguyên. Có rỗng mới khởi được gốc bản.,"Điểm khởi đầu của kiếm ý, chưa có hình hài, chỉ là một khối ""quặng"" nguyên thủy.",Khai Văn,Vô Niệm,Khởi Nguyên,Vô Khởi Nguyên Nhiễm,Spirit Awakening,Origin Gathering
0,Phàm,Khai Linh,Thông Mạch,,1,0.1,100,,,,,,00001x,Khai môn,Cương Tuyến,Kinh mạch,Phàm Thế Nhập Môn,Ngưng Linh Đạo Chủng,Đại Chùy,Tịch Kích Quang,"Tĩnh tịch khởi động, ánh sáng chân linh lóe rạng. Từ tĩnh lặng khởi sinh hào quang.",Kích hoạt linh lực truyền vào kiếm. Tín hiệu đầu tiên thiết lập sự kết nối giữa người và vật.,Khai Văn,Khởi Ý,Sơ Kiến,Hư Vô Bản Tâm,Qi Leading,Meridian Opening
1,Hạ,Luyện Khí,Quy Tức,,"1,000",1,150,,,,,,00010x,Luyện hình,Thanh Phế,Phế nang,Khởi Nguyên Chân Linh,Kinh Lạc Chu Thiên,Trung Phủ,Mê Chuẩn Văn,"Thoát mê định hình, khắc họa linh văn cơ bản. Hết mê thì văn chương hiển lộ.","Học các bộ bộ pháp, đâm, chém đúng cú pháp. Sai một ly, kiếm chiêu tự vỡ.",LUYỆN PHÁP,Sơ Văn,Nhất Niệm,Tịch Kích Chân Quang,Qi Refining,Breath Returning
2,Hạ,Luyện Khí,Thối Thể,,"3,000",2,200,,,,,,00011x,Luyện hình,Hoán Nhục,Mô cơ,Khởi Nguyên Chân Linh,Kinh Lạc Chu Thiên,Thiên Khu,Tạp Phân Thể,"Tạp niệm phân loại, định hình linh thể chứa đựng. Phân rạch ròi thì thể trạng tịnh.","Cấp phát linh lực vào chiêu thức. Biến đổi độ dài, nặng, nhẹ của kiếm khí.",LUYỆN PHÁP,Linh Chú,Cộng Chấn,Đồng Thể Đại Bi,Qi Refining,Body Tempering
3,Hạ,Luyện Khí,Xung Tâm,,"10,000",3,300,,,,,,00100x,Luyện hình,Cường Tâm,Nhịp Tim,Khởi Nguyên Chân Linh,Kinh Lạc Chu Thiên,Đản Trung,Loạn Chuyển Mệnh,"Luân hồi xoay chuyển, nắm bắt mệnh lệnh vận hành. Chuyển động đúng tạo ra chân mệnh.",Vận hành kiếm chiêu thành vòng lặp không dứt. Xung nhịp tấn công liên tục (Combo).,LUYỆN PHÁP,Mạch Tuyến,Tâm Ngữ,Minh Ngôn Khai Huệ,Qi Refining,Heart Pulsing
4,Hạ,Trúc Cơ,Đúc Cốt,,"100,000",5,500,,,,,,00101x,Nội phủ,Thiết Khung,Khung xương,Khởi Nguyên Chân Linh,Ngọc Tủy Kết Ấn,Đại Trữ,Trệ Nhiếp Tàng,"Xua tan tạp chất, nhiếp phục linh khí vào kho tàng. Hết trệ thì kho tàng sung túc.","Khắc ghi cảm giác của kiếm vào tủy xương (Cache). Không bao giờ quên ""vị"" của chiêu thức.",ĐỊNH HÌNH,Tĩnh Điểm,Thâm Ý,Trình Tự Phân Giải,Foundation Establish,Bone Forging
5,Hạ,Trúc Cơ,Phủ tạng,,"300,000",8,800,,,,,,00110x,Nội phủ,Thanh Tạng,Gan tạng,Khởi Nguyên Chân Linh,Ngọc Tủy Kết Ấn,Chương Môn,Nghi Quyết Đoạn,"Nghi hoặc hóa giải, quyết đoán tại các cửa ải. Hết nghi thì tâm tính quyết đoạn.",Khả năng phân tích sơ hở đối thủ (If/Else). Quyết định thời điểm ra đòn chí mạng.,ĐỊNH HÌNH,Trận Đồ,Thủ Hộ,Thiết Giáp Tâm Phòng,Foundation Establish,Viscera Refining
6,Hạ,Trúc Cơ,Thông khiếu,,"1,000,000",12,"1,200",,,,,,00111x,Nội phủ,Hoán Khiếu,Cửu Khiếu,Khởi Nguyên Chân Linh,Ngọc Tủy Kết Ấn,Trung Quản,Bế Thông Lưu,Phá bế quan để thông suốt dòng chảy nội ngoại. Cửa đóng thì phải thông linh khiếu.,"Giao thoa kiếm khí với môi trường. Thu nhận năng lượng trời đất, xuất ra sát chiêu.",ĐỊNH HÌNH,Khơi Linh,Tương Thông,Thông Đạo Cứu Khổ,Foundation Establish,Aperture Opening
7,Hạ,Kim Đan,Ngưng Tinh,,"10,000,000",25,"3,000",,,,,,01000x,Tạo hóa,Trọng Tinh,Tinh Đản,Khởi Nguyên Chân Linh,Thân Tượng Hóa Nguyên,Quan Nguyên,Cô Hợp Tượng,Thoát cô độc để hợp nhất thành vạn vật vạn tượng. Hết cô độc thì vạn tượng sinh.,"Đóng gói toàn bộ tu vi vào một thanh ""Bản Mệnh Kiếm"" cụ thể.",CHỈNH TẠI,Phù Chú,Bao Dung,Hợp Nhất Linh Đài,Golden Core,Essence Condensation
8,Hạ,Kim Đan,Huyết Đan,,"30,000,000",40,"5,000",,,,,,01001x,Tạo hóa,Huyết Hồng,Huyết tương,Khởi Nguyên Chân Linh,Thân Tượng Hóa Nguyên,Cách Du,Tuyệt Kế Hệ,"Đoạn tuyệt phàm căn, kế thừa huyết mạch tổ tiên. Nối được mạch thì hệ thống vững.","Kế thừa tinh hoa từ các bậc tiền nhân, tích hợp thư viện (Library) kiếm thuật cổ xưa.",CHỈNH TẠI,Hộ Trận,Đảm Nguyện,Kế Thừa Thiên Mệnh,Golden Core,Blood Core
9,Hạ,Kim Đan,Ngự Chi,vạn tuế cực hạn Hạ giới,"100,000,000",60,"10,000",,,,,,01010x,Tạo hóa,Thần Lực,Tứ chi,Khởi Nguyên Chân Linh,Thân Tượng Hóa Nguyên,Hoàn Khiêu,Tán Hóa Thân,"Phân tách tâm trí, hóa thân vạn đạo hành động. Tụ được tán khí sẽ phân thân.",Đa luồng xử lý (Multithreading). Một người điều khiển vạn thanh kiếm cùng lúc.,CHỈNH TẠI,Cực Điểm,Hóa Ảnh,Biến Hiện Vạn Thân,Golden Core,Intent Governance
10,Trung,Nguyên Anh,Thai Biến,,"1,000,000,000",150,"50,000",,,,,,01011x,Thông thiên,Hóa Thai,Cung Thai,Nguyên Anh Xuất Thế,Định Chủ Nhập Giới,Trung Cực,Giả Biến Giới,"Mượn giả tu thật, biến hóa ra hư ảo tiểu giới. Mượn giả biến hóa ra thế giới.",Tạo ra không gian kiếm giới (Sandbox). Đối thủ lọt vào sẽ bị bao vây bởi ảo ảnh.,DIỆU CẢNH,Linh Nhãn,Yên Giới,Ảo Cảnh Thí Luyện,Nascent Soul,Embryonic Mutation
11,Trung,Nguyên Anh,Chân Luân,,"3,000,000,000",200,"100,000",,,,,,01100x,Thông thiên,Luân Dịch,Nội tiết,Nguyên Anh Xuất Thế,Định Chủ Nhập Giới,Mệnh Môn,Khốn Quảng Thiên,"Không còn đình trệ, mở rộng kho chứa tận trời cao. Thoát khốn cảnh đạt đến trời cao.","Kiếm ý không còn nằm trong kiếm, mà phân tán khắp không gian, điều động từ xa.",DIỆU CẢNH,Thiên Võng,Đại Ái,Quảng Trình Phổ Độ,Nascent Soul,True Wheel
12,Trung,Nguyên Anh,Nhập Trụ,,"10,000,000,000",300,"250,000",,,,,,01101x,Thông thiên,Long Trụ,Trục tủy,Nguyên Anh Xuất Thế,Định Chủ Nhập Giới,Thân Trụ,Độc Tụ Tòa,"Không còn đơn độc, tụ hội khí vận tại linh tòa. Thoát độc hành để tụ linh tòa.","Biến bản thân thành máy chủ điều phối, làm chủ toàn bộ kiếm trận trong phạm vi nghìn dặm.",DIỆU CẢNH,Kết Giới,Quy Túc,Linh Tòa Hội Tụ,Nascent Soul,Pillar Entry
13,Trung,Hóa Thần,Pháp Ấn,,"100,000,000,000",600,"500,000",,,,,,01110x,Biến căn,Linh Nhãn,Đồng tử,Nguyên Anh Xuất Thế,Thừa Tự Thiên Cơ,Tình Minh,Phạm Chế Ấn,"Ngăn chặn xâm phạm, chế định phong ấn quyền năng. Chế ngự sai phạm bằng quyền ấn.",Quyền truy cập tối cao. Có thể phong ấn hoặc giải mở sức mạnh của bất kỳ thanh kiếm nào.,QUYỀN CHẾ,Chưởng Ấn,Minh Ước,Ấn Định Chân Pháp,Soul Transformation,Dharma Seal
14,Trung,Hóa Thần,Thien Diễn,,"300,000,000,000",900,"1,000,000",,,,,,01111x,Biến căn,Kim Não,Vỏ não,Nguyên Anh Xuất Thế,Thừa Tự Thiên Cơ,Ngọc Chẩm,Hỗn Trí Tuệ,"Từ hỗn độn sinh linh trí, đạt đến đại tuệ. Trí sáng thì hỗn độn hóa minh tuệ.",Tính toán mọi quỹ đạo của đối thủ trước khi họ kịp ra tay (Predictive).,QUYỀN CHẾ,Thiên Khu,Tiên Cách,Thiên Cơ Dự Tri,Soul Transformation,Heavenly Deduction
15,Trung,Hóa Thần,Minh Ký,,"1,000,000,000,000","1,500","3,000,000",,,,,,10000x,Biến căn,Uẩn Thức,Hạ đồi,Nguyên Anh Xuất Thế,Thừa Tự Thiên Cơ,Não Hộ,Biệt Quy Phả,"Thu phục loạn thế, quy vạn pháp về một phả. Quy củ thì linh phả rõ ràng.","Lưu trữ mọi chiêu thức thế gian vào bộ nhớ. Cần chiêu gì, truy xuất chiêu đó.",QUYỀN CHẾ,Trận Chủ,Đồng Phả,Vạn Pháp Quy Phả,Soul Transformation,Profound Mark
16,Trung,Phản Hư,Cực Vi,,"10,000,000,000,000","3,000","10,000,000",,,,,,10001x,Linh giác,Vi Cấu,Nhân bào,Nguyên Anh Xuất Thế,Pháp Thân Quy Hư,Trường Cường,Thô Tinh Vi,"Bỏ qua thô kệch, tinh luyện đến mức cực vi. Tinh luyện cái thô thành cái vi.",Kiếm ý tinh vi đến mức nguyên tử (Assembly). Phá hủy vật chất từ cấu trúc nhỏ nhất.,DUY TỰ,Biến Pháp,Tế Vi,Cực Vi Tinh Luyện,Void Returning,Minute Extremity
17,Trung,Phản Hư,Hộ Thân,,"30,000,000,000,000","5,000","30,000,000",,,,,,10010x,Linh giác,Bất Hoại,Kháng thể,Nguyên Anh Xuất Thế,Pháp Thân Quy Hư,Hoa Cái,Tranh Ngưng Kiên,"Hóa giải tranh chấp, định tâm kiên cố tài nguyên. Ngưng tranh chấp đạt sự kiên cố.","Trạng thái khóa (Mutex). Kiếm xuất ra là định mệnh, không thể bị ngăn cản hay sửa đổi.",DUY TỰ,Trấn Giới,Vĩnh Kết,Trấn Giới Bất Hoại,Void Returning,Body Protection
18,Trung,Phản Hư,Thần tuệ,Bất hủ Trung giới,"100,000,000,000,000","8,000","100,000,000",,,,,,10011x,Linh giác,Linh Giác,Tuyến tùng,Nguyên Anh Xuất Thế,Pháp Thân Quy Hư,Nê Hoàn,Nhược Cường Thánh,"Thoát nhược điểm, đạt đến sức mạnh thánh nhân. Luyện nhược thành cường đắc thánh.",Quyền quản trị toàn bộ tài nguyên (Root). Một ý niệm vận hành cả thiên địa kiếm đạo.,DUY TỰ,Chí Trận,Thánh Thương,Thánh Đức Thăng Hoa,Void Returning,Divine Wisdom
19,Thượng,Hợp Đạo,Chân Dịch,,"1,000,000,000,000,000","20,000","500,000,000",,,,,,10100x,Hợp nhất,Thấu Thị,Tâm nhãn,Đại Lao Thiên Tôn,Giới Vực Nhân Vương,Ấn Đường,Ám Dịch Chân,"Loại bỏ tạp âm, phiên dịch thiên cơ thành chân lý. Dịch mã ám thành chân lý sáng.",Biên dịch ý niệm thành thực thể. Không có sai số giữa tâm và kiếm.,PHÁP LÝ,Triển Thế,Diệu Dịch,Chân Lý Phiên Dịch,Dao Integration,True Fluid
20,Thượng,Hợp Đạo,Ý cảnh,1 Kỷ nguyên,"3,000,000,000,000,000","35,000","1,000,000,000",,,,,,10101x,Hợp nhất,Nội Ngự,Hành não,Đại Lao Thiên Tôn,Giới Vực Nhân Vương,Phong Phủ,Ngoại Nội Nhân,"Bỏ ngoại cảnh, thâm nhập vào nội tâm cốt lõi. Bỏ ngoại hướng nội đắc bản tâm.",Kiếm đã trở thành hệ điều hành cốt lõi của sinh mạng. Mọi hơi thở đều là kiếm.,PHÁP LÝ,Luật Định,Ngự Giao,Nội Ngự Nhân Tâm,Dao Integration,Intent Realm
21,Thượng,Hợp Đạo,Thượng Đỉnh,Thọ tinh 1 ngôi sao,"10,000,000,000,000,000","50,000","5,000,000,000",,,,,,10110x,Hợp nhất,Thiên Môn,Đỉnh đầu,Đại Lao Thiên Tôn,Giới Vực Nhân Vương,Bách Hội,Nô Chủ Vương,"Không làm nô lệ, làm chủ vạn vật, xưng vương. Thoát nô làm chủ xưng vương.",Quyền truy cập gốc vào quy luật vật lý. Bẻ cong không gian bằng thanh kiếm trên tay.,PHÁP LÝ,Ngự Linh,Tôn Phục,Vương Giả Từ Bi,Dao Integration,Zenith Peak
22,Thượng,Động Huyền,Hòa quang,,"100,000,000,000,000,000","120,000","20,000,000,000",,,,,,10111x,Phản Bản,Linh Thể,Nang lông,Đại Lao Thiên Tôn,Càn Khôn Pháp Tắc,Đốc Du,Chấp Huyền Diệu,"Tuyệt chấp nhị nguyên, chồng chập diệu huyền. Hết kẹt nhị nguyên đạt huyền cơ.",Một thanh kiếm xuất hiện ở mọi nơi cùng lúc (Superposition). Thực hư bất định.,HOÁN TƯỢNG,Chân Văn,Huyền Duyên,Huyền Diệu Đa Diện,Profound Mystery,Harmonious Light
23,Thượng,Động Huyền,Khiết dịch,,"300,000,000,000,000,000","200,000","100,000,000,000",,,,,,11000x,Phản Bản,Tịnh Khiết,Dịch hạch,Đại Lao Thiên Tôn,Càn Khôn Pháp Tắc,Khúc Cốt,Sai Chính Thuần,"Sửa chữa sai lầm, quy chính về sự thuần khiết. Quy chính cái sai đắc khiết thuần.",Loại bỏ mọi tạp chất (Garbage Collection). Kiếm quang thuần khiết tuyệt đối.,HOÁN TƯỢNG,Cải Nghịch,Khiết Tâm,Khiết Thuần Nghiệp Lực,Profound Mystery,Pure Fluid
24,Thượng,Động Huyền,Chân ngôn,,"1,000,000,000,000,000,000","400,000","500,000,000,000",,,,,,11001x,Phản Bản,Hám Thiên,Khẩu hầu,Đại Lao Thiên Tôn,Càn Khôn Pháp Tắc,Thước Kiều,Ẩn Kiến Nguyên,"Phá tan ẩn khuất, nhìn thấu mã nguồn bản nguyên. Phá ẩn kiến nguồn đắc bản nguyên.",Thấy được mã nguồn của vạn vật. Nhìn đâu cũng thấy điểm yếu để chém đứt.,HOÁN TƯỢNG,Càn Khôn,Chân Nguyện,Kiến Nguyên Bản Mã,Profound Mystery,True Word
25,Thượng,Tản Tiên,Hồi nguyên,,"10,000,000,000,000,000,000","1,000,000","1,000,000,000,000",,,,,,11010x,Siêu Thoát,Phản Hạt,Rốn gốc,Đại Lao Thiên Tôn,Thái Nhất Thần Bảo,Thần Khuyết,Ly Kết Nhất,"Không còn ly tán, vạn pháp hợp nhất đại đạo. Kết nối ly tán về lại cái Một.",Hợp nhất vạn vật vào một điểm. Sự toàn vẹn không thể chia cắt.,THÁI NGUYÊN,Hợp Nhất,Quy Nhất,Nhất Thể Quy Nguyên,True Immortal,Essence Return
26,Thượng,Tản Tiên,Thánh giáp,Bách ức ức,"30,000,000,000,000,000,000","2,500,000","10,000,000,000,000",,,,,,11011x,Siêu Thoát,Ngọc Bì,Biểu bì,Đại Lao Thiên Tôn,Thái Nhất Thần Bảo,Phế Du,Lộ Mật Bảo,"Không để lộ sơ hở, mật pháp bảo hộ chân thân. Mật hóa chỗ lộ để bảo tồn.",Bảo mật kiếm ý tuyệt đối. Không ai có thể giải mã hay học trộm được kiếm đạo.,THÁI NGUYÊN,Thần Ấn,Mật Hộ,Mật Bảo Hộ Thân,True Immortal,Holy Armor
27,Thượng,Tản Tiên,Giải Phược,Thọ dữ thiên tề vẫn trong Đại Lao,"100,000,000,000,000,000,000","5,000,000",Vĩnh hằng,,,,,,11100x,Siêu Thoát,Thoát Cương,Khớp xương,Đại Lao Thiên Tôn,Thái Nhất Thần Bảo,Huyền Khu,Phược Giải Thoát,"Mở xiềng xích, giải phóng quyền năng thoát thai. Giải mọi ràng buộc để tự tại.",Thoát khỏi sự ràng buộc của bộ nhớ (Cơ thể). Kiếm ý tự do tự tại ngoài vật chất.,THÁI NGUYÊN,Tông Diễn,Tự Tại,Giải Phược Thoát Xác,True Immortal,Shackle Breaking
28,Ẩn,Thần Đạo,Ẩn Hình,Vượt ngoài dòng thời gian,10^Inf,"20,000,000",Vô hạn,,,,,,11101x,Vô Thượng,Thần Thể,Khí trường,Hư Vô Thần Vị,Hỗn Độn Chí Tôn,Thần Đình,Hiển Tiềm Ảnh,"Vô hình vô tướng, ẩn tàng hành tung như ảnh. Tiềm năng ẩn kín như cái bóng.",Kiếm tồn tại trong lớp ảo hóa (Hypervisor). Vô hình nhưng thực thi uy lực vạn năng.,Vô Niệm Trận,Thần Văn,Tan Ảnh,Ẩn Ảnh Vô Danh,Divine Dao,Invisibility
29,Ẩn,Thần Đạo,Hư Vô,Thời gian chỉ là khái niệm,Inf^Inf,"100,000,000",Vô hạn,,,,,,11110x,Vô Thượng,Thánh Tâm,Tâm thất,Hư Vô Thần Vị,Hỗn Độn Chí Tôn,Cự Khuyết,Nặc Hòa Tự,"Hòa nhập Ẩn danh, Tự tính linh hồn không tì vết. Hòa nhập Ẩn danh đắc Tự tính.","Kiếm tự vận hành, tự tiến hóa (Self-modifying). Không cần người cầm, kiếm vẫn là đạo.",Vô Niệm Trận,Thánh Trận,Bản Tính,Tự Tính Linh Quang,Divine Dao,Nothingness
30,Ẩn,Thần Đạo,Đại Đạo,Đồng hóa Vũ trụ Thái Cực,NaN,"1,000,000,000",Vô tận,,,,,,11111x,Vô Thượng,Vô Tướng,Đan Điền,Hư Vô Thần Vị,Hỗn Độn Chí Tôn,Hội Âm,Hữu Vô Đạo,"Thoát hữu vi, nhập vô vi, chứng đắc Đại Đạo. Bỏ hữu nhập vô chứng đại đạo.","Vô vi thực thi. Không có kiếm, không có chiêu, nhưng vạn pháp quy nhất. Tồn tại chính là Kiếm.",Vô Niệm Trận,Thái Cực,Viên Đạo,Đại Đạo Vô Vi,Divine Dao,Great Dao
